Year,Month,Region,Resource,Rate
2022,1,Trivandrum,Chromium plated Brass Screws 50 MM,406.0
2022,1,Trivandrum,Chromium plated Brass screw 40 mm,393.0
2022,1,Trivandrum,Chromium plated Brass screws 30 mm,325.0
2022,1,Trivandrum,Chromium plated Brass screws 25 mm,244.0
2022,1,Trivandrum,Chromium plated Brass screws 20 mm,216.0
2022,1,Trivandrum,Chromium plated Brass curtain rod 12 mm dia 1.25 mm thick,260.0
2022,1,Trivandrum,Chromium plated Brass curtain rod 20 mm dia 1.25 mm thick,356.0
2022,1,Trivandrum,Chromium plated Brass curtain rod 25 mm dia 1.25 mm thick,478.0
2022,1,Trivandrum,"C. P. Brass Extension Nipple (1/2""x2"" size)",63.0
2022,1,Trivandrum,Bright finished or black enameled mild steel butt hinges 125x65x2.12 mm,191.0
2022,1,Trivandrum,Bright finished or black enameled mild steel butt hinges 100x58x1.90 mm,118.0
2022,1,Trivandrum,Bright finished or black enameled mild steel butt hinges 75x47x1.70 mm,82.0
2022,1,Trivandrum,Bright finished or black enameled mild steel butt hinges 50x37x1.50 mm,69.0
2022,1,Trivandrum,Nickel plated bright finished mild steel piano hinges 1 mm thick 25 mm wide,55.0
2022,1,Trivandrum,Bright finished or black enameled mild steel screws 50 mm,101.0
2022,1,Trivandrum,Bright finished or black enameled mild steel screws 40 mm,81.0
2022,1,Trivandrum,Bright finished or black enameled mild steel screws 30 mm,61.0
2022,1,Trivandrum,Bright finished or black enameled mild steel screws 25 mm,51.0
2022,1,Trivandrum,Bright finished or black enameled mild steel screws 20 mm,41.0
2022,1,Trivandrum,Bright finished or black enameled mild steel bolts and nuts 50x6 mm,9.0
2022,1,Trivandrum,Oxidised mild steel butt hinges 125x65x2.12 MM,191.0
2022,1,Trivandrum,Oxidised mild steel butt hinges 100x58x1.90 mm,123.0
2022,1,Trivandrum,Oxidised mild steel butt hinges 75x47x1.70 mm,91.0
2022,1,Trivandrum,Oxidised mild steel butt hinges 50x37x1.50 mm,77.0
2022,1,Trivandrum,Oxidised mild steel parliamentary hinges 150x125x27x2.8 mm,464.0
2022,1,Trivandrum,Oxidised mild steel parliamentary hinges 125x125x27x2.8 mm,433.0
